code,name
A040304,大分子、团簇与特殊原子分子性质
A040305,极端条件下的原子分子物理
A040306,外场中的原子分子性质及K操控
A040307,量子信息中的原子分子物理问题
A040308,与原子、分子有关的其他物理问题
A040309,冷原子分子物理
A0404,光学
A040401,光的传播和成像
A040402,信息光学中的物理问题
A040403,光源、光学器件和光学系统中的物理问题
A040404,纤维光学和集成光学中的物理问题
A040405,光与物质的相互作用
A040406,超强、超快光物理
A040407,微纳光学与光子学
A040408,虽子光学和量子信息
A040409,非线性光学铁电性质
A040410,光学材料中物理问题及固体发光
A040411,激光光谱学及高分辨髙灵敏光谫方法
A040412,X射线、红外、THz物理.
A040413,光学在生命科学中的应用
A040414,与光学宥关的其他物理问题和交叉学科
A0405,声学
A040501,线性与非线性声学
A040502,水声和海洋声学及空气动力声学
A040503,超声学、量子声学和声学效应
A040504,噪声、噪声效应及其控制
A040505,生理、心理声学和生物声学
A040506,语言声学、乐声及声学信号处理
A040507,声学换能器、声学测量方法和声学材料
A040508,信息科学中的声学问题
A040509,建筑声学与电声学
A040510,与声学有关的其他物理问题和交叉学科
A05,物理学II
A0501,基础物理学
A050101,物理学中的数学问题与计算方法
A050102,经典物理及其唯象学研究
A050103,量子物理及其应用
A050104,量子信息学
A050105,统计物理学与复杂系统
A050106,相对论、引力与宇宙学
A0,S02粒子物理学和场论
A050201,场和粒子的一般理论及方法
A050202,量子色动力学、强相互作用和强子物理
A050203,电-弱相互作用及唯象学
A050204,非标准模型及其唯象学
A050205,弦论、膜论及隐藏的空间维度
A050206,非加速器粒子物理
A050207,粒子天体物理和宇宙学
A05,O3核物理
A050301,原子核结构与特性研究
A050302,原子核高激发态、高自旋态和超形变
A050303,核裂变、核聚变、核衰变
A050304,重离子核物理
A050305,放射性核束物理、超重元素合成及反应机制
A050306,中髙能核物理
A050307,核天体物理
A0504,核技术及其应用
A050401,离子束与物质相互作用和辐照损伤
A050402,离子束核分析技术
A050403,核效应分析技术
A050404,中子技术及其应用
A050405,加速器质谱技术
A050406,离子注入及离子束材料改性
A050407,核技术在环境科学、地学和考古中的应用
A050408,核技术在工、农业和医学中的应用
A050409,新槪念、新原理、新方法
A0505,粒子物理与核物理实验方法与技术
A050501,束流物理与加速器技术
A050502,荷电粒子源、靶站和预加速装孜
A050503,束流传输和测量技术
A050504,反应堆物理与技术
A050505,散裂中子源相关技术
A050506,探测技术和谱仪
A050507,辐射剂S学和辐射防护
A050508,实验数据获取与处理
A050509,新原理、新方法、新技术、新应用
A0506,等离子体物理
A050601,等离子体中的基本过程与特性
A050602,等离子体产生、加热与约束
A050603,等离子体中的波与不稳定性
A050604,等离子体中的非线性现象
A050605,等离子体与物质相互作用
A050606,等离子体珍断
A050607,强粒子束与辐射源
A050608,磁约束等离子体
A050609,惯性约束等离子体
A050610,低温等离子体及其应用
A050611,空间和天体等离子及特殊等离子体
A0507,同步辐射技术及其应用
A050701,同步辐射光源原理和技术
A050702,自由电子激光原理和技术
A050703,束线光学技术和实验方法
